;time;avr memory;dimension;density;total_monomials;max_degree_input;d_reg_asymp;first_fall_estimate;non_mult_prolongations_initial;macaulay_bound
time;1.0;0.9156;0.1592;-0.2003;0.1573;0.1679;0.2112;0.2163;0.146;0.149
avr memory;0.9156;1.0;0.1421;-0.2074;0.1794;0.1905;0.1969;0.2029;0.1364;0.1621
dimension;0.1592;0.1421;1.0;-0.2108;0.0077;0.0125;0.0521;0.7149;0.6695;0.028
density;-0.2003;-0.2074;-0.2108;1.0;0.0369;-0.163;0.0269;-0.1083;-0.0518;-0.0698
total_monomials;0.1573;0.1794;0.0077;0.0369;1.0;0.1553;0.3718;0.2234;0.1573;0.1175
max_degree_input;0.1679;0.1905;0.0125;-0.163;0.1553;1.0;0.7093;0.5419;0.4468;0.9586
d_reg_asymp;0.2112;0.1969;0.0521;0.0269;0.3718;0.7093;1.0;0.7178;0.6196;0.7529
first_fall_estimate;0.2163;0.2029;0.7149;-0.1083;0.2234;0.5419;0.7178;1.0;0.9002;0.5856
non_mult_prolongations_initial;0.146;0.1364;0.6695;-0.0518;0.1573;0.4468;0.6196;0.9002;1.0;0.4848
macaulay_bound;0.149;0.1621;0.028;-0.0698;0.1175;0.9586;0.7529;0.5856;0.4848;1.0
